id,match_id,event_id,minute,second,team_id,expanded_minute,player_id,x,y,end_x,end_y,qualifiers,satisfied_events_types,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,related_event_id,related_player_id,card_type,is_goal,type,outcome_type,period,shirt_no,name,position,is_first_eleven
2780415943,1835055,182,16,47,87,16,409221,69.9,4.3,69.4,22.3,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""69.4""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""12.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""22.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.61""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,119,117,30,205,35,37,217,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,7,Francisco Conceicao,AMR,true
2780415947,1835055,183,16,48,87,16,315369,69.4,26,,,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""109""}]","[91,70]",true,,,,,false,,,false,false,Dispossessed,Successful,FirstHalf,9,Dusan Vlahovic,FW,true
2780415979,1835055,184,16,52,87,16,315369,70.5,48.4,97.8,92.4,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""97.8""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""92.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.81""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""41.4""}]","[91,119,117,127,205,36,37,217,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,9,Dusan Vlahovic,FW,true
2780416027,1835055,185,16,57,87,16,494525,92.7,87.5,88.9,58.5,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""20.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""58.5""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.51""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""88.9""}]","[91,120,29,35,38,217,218]",true,,,,,false,,,false,false,Pass,Unsuccessful,FirstHalf,10,Kenan Yildiz,AML,true
2780416111,1835055,111,16,58,78,16,444134,9.8,45.8,30.1,0,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.30""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""0.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""38.2""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""30.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]","[91,94,95,215]",true,,,,,false,,,false,false,Clearance,Successful,FirstHalf,29,Antoine Makoumbou,MC,true
2780416243,1835055,187,17,15,87,17,423440,73.1,100,76.3,76.6,"[{""type"":{""value"":107,""displayName"":""ThrowIn""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""76.6""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""17.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""76.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.90""}]","[91,212,36,38,217]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,27,Andrea Cambiaso,DL,true
2780416255,1835055,188,17,16,87,17,343308,76.3,76.6,81.7,86.5,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""86.5""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.87""},{""type"":{""value"":3,""displayName"":""HeadPass""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""8.8""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""81.7""}]","[91,119,117,30,139,205,36,37,217,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,8,Teun Koopmeiners,DMC,true
2780416257,1835055,189,17,17,87,17,338275,81.7,86.5,77.7,89,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.76""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""77.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""4.5""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""89.0""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,120,29,35,37,217,218]",true,,,,,false,,,false,false,Pass,Unsuccessful,FirstHalf,16,Weston McKennie,AMC,true
2780416273,1835055,113,17,18,78,17,371396,22.2,11.1,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,101,56]",true,,,,,false,,,false,false,Interception,Successful,FirstHalf,28,Gabriele Zappa,DR,true
2780416277,1835055,114,17,19,78,17,356176,28.1,12.7,,,[],[93],false,,,,,false,,,false,false,BallRecovery,Successful,FirstHalf,8,Michel Adopo,MC,true
